experiment_id,Ax,Ay,Az
518,-0.8423385,0.56312263,-0.27743247
519,-0.84278923,0.5630468,0.00062776904
520,-0.8425393,0.56297106,0.27883962
521,-0.8427626,0.56302226,0.55682606
522,-0.84231395,0.56314725,0.83528787
523,-0.8424635,0.5630468,1.1145016
524,-0.8424635,0.5629956,1.3926622
525,-0.84248805,0.5632722,1.6718533
526,-0.84331375,0.56344634,1.9504381
527,-0.84261304,0.84313333,-1.6725954
528,-0.8429634,0.84318453,-1.3932567
529,-0.8428384,0.84338534,-1.1142684
530,-0.8427134,0.84313333,-0.8353559
531,-0.84278923,0.8433341,-0.55644536
532,-0.84256387,0.84291,-0.2777828
533,-0.8425393,0.8431087,0.0006789889
534,-0.8427134,0.8431087,0.27856508
535,-0.84261304,0.84305954,0.5573014
536,-0.84273803,0.8432849,0.83521205
537,-0.8427134,0.84313536,1.1146265
538,-0.8424389,0.8434345,1.3929387
539,-0.84281385,0.8437848,1.6713514
540,-0.8430126,1.123771,-1.6728454
541,-0.8429122,1.123521,-1.3938324
542,-0.8430392,1.1236972,-1.1141434
543,-0.84311295,1.1236972,-0.8355054
544,-0.842863,1.1229719,-0.55647
545,-0.84248805,1.123396,-0.27810857
546,-0.8429634,1.1234206,0.00037781624
547,-0.84298795,1.1234719,0.27881503
548,-0.8425885,1.1235455,0.55712724
549,-0.8429634,1.1234964,0.83538824
550,-0.84273803,1.1239717,1.1143274
551,-0.8430126,1.1236951,1.392988
552,-0.8428876,1.1237955,1.6715522
553,-0.8432133,1.4040357,-1.3938816
554,-0.8430126,1.4041115,-1.1143688
555,-0.8430126,1.4037611,-0.8356304
556,-0.8430126,1.4040377,-0.5564208
557,-0.84316415,1.4038123,-0.27815774
558,-0.8429122,1.4039865,0.00040445055
559,-0.84281385,1.4040868,0.27863884
560,-0.8429388,1.4043614,0.5562012
561,-0.84298795,1.404386,0.8351117
562,-0.8429388,1.403837,1.1139525
563,-0.84328914,1.4040357,1.3923876
564,-0.8432625,1.6845237,-1.1155448
565,-0.8432133,1.6847245,-0.83588034
566,-0.8435637,1.6844746,-0.5570457
567,-0.8430126,1.6845995,-0.27835852
568,-0.8429634,1.6842492,0.00025283982
569,-0.84328914,1.6843495,0.27821472
570,-0.84311295,1.6841733,0.55657613
571,-0.84316415,1.6846486,0.8349375
572,-0.8431621,1.6845729,1.1140529
573,-0.84331375,1.964813,-0.5569699
574,-0.8435637,1.9645877,-0.27825812
575,-0.84318876,1.9651142,0.00017908323
576,-0.84328914,1.9655383,0.27816352
577,-0.8434141,1.964813,0.5565024
578,-0.5617255,-1.970346,-0.83713216
579,-0.5621004,-1.9703705,-0.5574206
580,-0.5618504,-1.9703214,-0.27865764
581,-0.5616005,-1.9702947,0.0004782071
582,-0.5616005,-1.9702702,0.27883962
583,-0.56212497,-1.9701964,0.5567523
584,-0.56162506,-1.9703705,0.8351383
585,-0.5618259,-1.6890589,-1.1156697
586,-0.56195086,-1.6887598,-0.83600533
587,-0.56175005,-1.6887085,-0.5567691
588,-0.5616005,-1.6888602,-0.27780738
589,-0.5616497,-1.6887331,0.0006789889
590,-0.5613997,-1.6885836,0.27851385
591,-0.56155133,-1.6889585,0.55662733
592,-0.56175005,-1.6887331,0.8353125
593,-0.5618504,-1.6889093,1.1143274
594,-0.5615493,-1.4070691,-1.3939574
595,-0.5615759,-1.4068458,-1.1146699
596,-0.56195086,-1.4071203,-0.8357308
597,-0.5615759,-1.4073702,-0.5565437
598,-0.5614243,-1.4073191,-0.27798155
599,-0.5613997,-1.4068949,0.00022825428
600,-0.5610248,-1.4072698,0.2787392
601,-0.5617255,-1.4068191,0.5569777
602,-0.5615759,-1.4070957,0.8354374
603,-0.5617255,-1.4069442,1.114227
604,-0.5616763,-1.4067945,1.392613
605,-0.5617747,-1.1254051,-1.6730195
606,-0.5613505,-1.12553,-1.3935579
607,-0.56145096,-1.1253804,-1.1145941
608,-0.56162506,-1.1255054,-0.8354808
609,-0.56127477,-1.1250813,-0.55649453
610,-0.56132597,-1.1251551,-0.27785656
611,-0.5612993,-1.1253313,0.00070357445
612,-0.56125015,-1.1251059,0.27881503
613,-0.5615759,-1.1252062,0.5570023
614,-0.56150013,-1.1248047,0.83541286
615,-0.5615493,-1.1249564,1.1145282
616,-0.56167424,-1.1249051,1.3929142
617,-0.5617255,-1.1254051,1.6720521
618,-0.5619754,-0.8431427,-1.9514792
619,-0.5615759,-0.8435422,-1.6721692
620,-0.5615247,-0.84331685,-1.3929821
621,-0.5618996,-0.84344184,-1.1141434
622,-0.5616497,-0.84334147,-0.8350547
623,-0.5612993,-0.8431673,-0.5561688
624,-0.56132597,-0.8430915,-0.27743247
625,-0.56112516,-0.84324104,0.0010047471
626,-0.5612993,-0.8432923,0.27879044
627,-0.56132597,-0.84294194,0.5573014
628,-0.5617009,-0.84301776,0.8352387
629,-0.5610248,-0.8432165,1.114477
630,-0.561076,-0.84331685,1.3935636
631,-0.56117433,-0.8430423,1.6719271
632,-0.5614243,-0.84289277,1.9508642
